ranking,name,highSchool,position,height,weight,stars,rating,college
207,Avery Huff,St. Thomas Aquinas (Fort Lauderdale	 FL),OLB,6-3, 200 ,4,0.9177,Miami
208,Isaiah Rutherford,Jesuit (Carmichael	 CA),CB,6-0, 192 ,4,0.9171,Notre Dame
209,Grayson Boomer,Collinsville (Collinsville	 OK),TE,6-5, 230 ,4,0.9169,Oklahoma State
210,Jahfari Harvey,Vero Beach (Fort Pierce	 FL),WDE,6-4, 225 ,4,0.9165,Miami
211,Isaiah Foskey,De La Salle (Concord	 CA),WDE,6-4, 233 ,4,0.9164,Notre Dame
212,Osita Ekwonu,Providence Day School (Charlotte	 NC),ILB,6-2, 220 ,4,0.9163,Notre Dame
213,Khafre Brown,West Mecklenburg (Charlotte	 NC),WR,6-0, 176 ,4,0.9161,North Carolina
214,Xavier Truss,Bishop Hendricken (Warwick	 RI),OT,6-6.5, 316 ,4,0.9158,Georgia
215,Jonathan Mingo,Brandon (Brandon	 MS),WR,6-2, 200 ,4,0.9157,Ole Miss
216,Taisun Phommachanh,Avon Old Farms (Bridgeport	 CT),DUAL,6-3, 194 ,4,0.9156,Clemson
217,Jarrian Jones,Northwest Rankin (Flowood	 MS),S,6-1, 185 ,4,0.9147,Mississippi State
218,Cam'Ron Kelly,Oscar Smith (Chesapeake	 VA),ATH,6-1, 190 ,4,0.9145,Auburn
219,Joshua Calvert,Oaks Christian (Westlake Village	 CA),ILB,6-1.5, 227 ,4,0.9144,Washington
220,Derrian Brown,Buford (Buford	 GA),RB,5-11, 188 ,4,0.9139,Texas
221,Kalen DeLoach,Islands (Savannah	 GA),OLB,6-0, 206 ,4,0.9138,Florida State
222,Jaden Davis,St. Thomas Aquinas (Fort Lauderdale	 FL),CB,5-9, 166 ,4,0.9138,Oklahoma
223,Anthony Solomon,St. Thomas Aquinas (Fort Lauderdale	 FL),OLB,6-0, 190 ,4,0.9137,Michigan
224,Isaiah Hazel,Dr. Henry Wise (Upper Marlboro	 MD),WR,6-1, 190 ,4,0.9134,Maryland
225,Deondrick Glass,Katy (Katy	 TX),RB,5-11, 200 ,4,0.9133,Oklahoma State
226,Tyus Fields,William Amos Hough (Cornelius	 NC),CB,5-10, 191 ,4,0.9131,Tennessee
227,Warren McClendon,Brunswick (Brunswick	 GA),OT,6-4, 318 ,4,0.9131,Georgia
228,Trey Knox,Blackman (Murfreesboro	 TN),WR,6-5, 215 ,4,0.9129,Arkansas
229,Max Duggan,Lewis Central (Council Bluffs	 IA),DUAL,6-2, 190 ,4,0.9127,TCU
230,Litchfield Ajavon,Episcopal (Alexandria	 VA),S,6-0.5, 189 ,4,0.9126,Notre Dame
231,Steele Chambers,Blessed Trinity Catholic (Roswell	 GA),ATH,6-1, 215 ,4,0.9126,Ohio State
232,Jackson Lampley,Montgomery Bell Academy (Nashville	 TN),OG,6-4, 300 ,4,0.9124,Tennessee
233,Anthony Harris,Havelock (Havelock	 NC),S,6-1.5, 171 ,4,0.9123,Tennessee
234,Braedon Mowry,Taylor (Katy	 TX),WDE,6-4, 225 ,4,0.9115,Texas A&M
235,Hank Bachmeier,Murrieta Valley (Murrieta	 CA),PRO,6-3, 188 ,4,0.9114,Boise State
