ranking,name,highSchool,position,height,weight,stars,rating,college
225,Jordan Moore,Yoakum (Yoakum, TX),S,5-11,192,4,0.9143,Texas A&M
226,Solomon Enis,North Canyon (Phoenix, AZ),WR,6-4,190,4,0.9139,Utah
227,Malcolm Epps,Dekaney (Houston, TX),TE,6-5.5,218,4,0.9137,Texas
228,Master Teague,Blackman (Murfreesboro, TN),RB,5-11,210,4,0.9132,Ohio State
229,Rondale Moore,Trinity (Louisville, KY),WR,5-8.5,174,4,0.9123,Purdue
230,Jairus Brents,Waggener Traditional (Louisville, KY),CB,5-10,178,4,0.9122,Louisville
231,Isaiah Bolden,Wesley Chapel (Zephyrhills, FL),CB,6-2,175,4,0.9120,Florida State
232,Chris Murray,Mater Dei (Santa Ana, CA),OG,6-3,300,4,0.9119,UCLA
233,Juice Scruggs,Cathedral Prep (Erie, PA),OC,6-3,270,4,0.9118,Penn State
234,Gerry Bohanon,Earle (Earle, AR),DUAL,6-3,218,4,0.9117,Baylor
235,Jack West,Saraland (Saraland, AL),PRO,6-4,217,4,0.9115,Stanford
236,Trevor Trout,Chaminade (Saint Louis, MO),DT,6-3,315,4,0.9115,USC
237,BJ Hanspard,DeSoto (DeSoto, TX),ATH,6-0,170,4,0.9114,Baylor
238,Jesse Luketa,Mercyhurst Preparatory School (Erie, PA),ILB,6-3,238,4,0.9113,Penn State
239,Amari Gainer,Lawton Chiles (Tallahassee, FL),OLB,6-2.5,204,4,0.9112,Florida State
240,Robert Hicks,Miami Central (Miami, FL),ILB,6-0,237,4,0.9109,Louisville
241,Michael Wilson,Chaminade (West Hills, CA),WR,6-2,180,4,0.9106,Stanford
242,Divaad Wilson,Northwestern (Miami, FL),CB,6-0,180,4,0.9106,Georgia
243,Chasen Hines,Marshall (Marshall, TX),DT,6-2.5,335,4,0.9105,LSU
244,Spencer Webb,Christian Brothers (Sacramento, CA),TE,6-5,235,4,0.9103,Oregon
245,Alston Orji,Rockwall (Rockwall, TX),ILB,6-2,230,4,0.9103,Vanderbilt
246,Steven Jones,Chaparral (Temecula, CA),OG,6-5,340,4,0.9100,Oregon
247,Cameron Rising,Newbury Park (Newbury Park, CA),PRO,6-2,209,4,0.9096,Texas
248,Trey Lowe,Jesuit (Portland, OR),APB,5-7,174,4,0.9094,Washington
249,Tanner Mordecai,Midway (Waco, TX),DUAL,6-2.5,213,4,0.9092,Oklahoma
250,Trenton Gillison,Pickerington Central (Pickerington, OH),TE,6-5,220,4,0.9089,Michigan State
251,Bo Calvert,Oaks Christian (Westlake Village, CA),OLB,6-3.5,218,4,0.9087,UCLA
252,Dawson Jaramillo,Lake Oswego Senior (Lake Oswego, OR),OT,6-5,295,4,0.9085,Oregon
253,Tank Jenkins,Park Crossing (Montgomery, AL),OG,6-3,325,4,0.9083,Texas A&M
254,Jeremiah Martin,Cajon (San Bernardino, CA),WDE,6-5,240,4,0.9083,Texas A&M
255,Stephan Blaylock,St. John Bosco (Bellflower, CA),S,5-10,185,4,0.9082,UCLA
256,Brant Lawless,Nashville Christian School (Nashville, TN),DT,6-3,285,4,0.9080,North Carolina
257,Jamien Sherwood,Jensen Beach (Jensen Beach, FL),S,6-2,195,4,0.9079,Auburn
258,Lyn-J Dixon,Taylor County (Butler, GA),APB,5-10.5,178,4,0.9077,Clemson
259,Cleveland Reed,Fort Meade  (Fort Meade, FL),OG,6-3,327,4,0.9075,Miami
260,Michael Ezeike,Colony (Ontario, CA),TE,6-5,220,4,0.9075,UCLA
261,Jashaun Corbin,Rockledge (ROCKLEDGE, FL),APB,6-0,191,4,0.9074,Texas A&M
262,Andres Fox,Mobile Christian School (Mobile, AL),WDE,6-4,245,4,0.9073,Stanford
263,Warren Ericson,North Gwinnett (Duluth, GA),OC,6-4,290,4,0.9070,Georgia
264,Camron Johnson,Brentwood Academy (Brentwood, TN),WR,6-1,182,4,0.9070,Vanderbilt
265,Darrell Simpson,Northwest (Justin, TX),OT,6-7,336,4,0.9069,Oklahoma
266,Joseph Scates,Dunbar (Dayton, OH),WR,6-3,180,4,0.9069,Iowa State
267,Tevailance Hunt,Texas High (Texarkana, TX),WR,6-2,185,4,0.9064,TCU
268,Jalen Mayfield,Catholic Central (Grand Rapids, MI),OT,6-5,273,4,0.9062,Michigan
269,Kingsley Enagbare,Hapeville Charter (Atlanta, GA),SDE,6-4,257,4,0.9061,South Carolina
270,Nick Tarburton,Pennridge (Perkasie, PA),ILB,6-3.5,242,4,0.9057,Penn State
271,James Foster,Lanier (Montgomery, AL),DUAL,6-3,210,4,0.9055,Texas A&M
272,Pooka Williams Jr.,Hahnville (Boutte, LA),APB,5-9,175,4,0.9055,Kansas
273,Corione Harris,Landry-Walker (New Orleans, LA),CB,5-11.5,165,4,0.9052,Kansas
274,Daniel George,Oxon Hill (Oxon Hill, MD),WR,6-1.5,201,4,0.9049,Penn State
