ranking,name,highSchool,position,height,weight,stars,rating,college
724,De'Quavion Thomas,Steele (Cibolo	 TX),RB,5-9,187,3,0.8477,uncommitted
725,Donovan Johnson,Helen Cox (Harvey	 LA),S,6-1,180,3,0.8477,uncommitted
726,Ashton Stredick,Needville (Needville	 TX),RB,5-9,175,3,0.8477,uncommitted
727,Tommy Guajardo,Dearborn (Dearborn	 MI),TE,6-4,230,3,0.8477,uncommitted
728,Brandon Frazier,McKinney North (Mckinney	 TX),TE,6-7,231,3,0.8467,uncommitted
729,Marques Buford,Trinity Christian School (Cedar Hill	 TX),ATH,5-11,185,3,0.8466,uncommitted
730,Ja'Bray Young,Melissa (Melissa	 TX),RB,5-10,208,3,0.8466,uncommitted
731,Sam Rengert,Fairbanks (Milford Center	 OH),OT,6-7,285,3,0.8466,uncommitted
732,Tyler Venables,D W Daniel (Central	 SC),S,5-11,185,3,0.8466,uncommitted
733,Garrett Hayes,Athens (Athens	 TX),OT,6-5,277,3,0.8466,uncommitted
734,Alex Lines,Higley (Gilbert	 AZ),TE,6-4,235,3,0.8466,uncommitted
735,Tarheeb Still,Timber Creek (Sicklerville	 NJ),CB,6-0,165,3,0.8466,uncommitted
736,Malik Bowen,Mount Juliet (Mount Juliet	 TN),WR,6-2,180,3,0.8438,uncommitted
737,Jalen St. John,Trinity Catholic (Saint Louis	 MO),OG,6-5,300,3,0.8427,uncommitted
738,Evan Prater,Wyoming (Cincinnati	 OH),DUAL,6-5,190,3,0.8427,uncommitted
739,Luke Lachey,Grandview Heights (Columbus	 OH),TE,6-6,215,3,0.8427,uncommitted
740,Joseph Wilson,North Shore (Houston	 TX),CB,6-1,180,3,0.8427,uncommitted
741,Michael Wright,Woodward Academy (Atlanta	 GA),DUAL,6-4,178,3,0.8427,uncommitted
742,Carson Lee,Cherry Creek (Englewood	 CO),OG,6-4,300,3,0.8427,uncommitted
743,Ryan Frank,Magnolia West (Magnolia	 TX),CB,6-2,175,3,0.8427,uncommitted
744,Zion Childress,New Caney (New Caney	 TX),WR,6-0,160,3,0.8427,uncommitted
745,Aaron Moore,Oakland (Murfreesboro	 TN),OLB,6-3,220,3,0.8427,uncommitted
746,Gavin Gerhardt,Xenia (Xenia	 OH),OT,6-4,279,3,0.8427,Cincinnati
747,Ben Finley,Paradise Valley (Phoenix	 AZ),PRO,6-2.5,197,3,0.8427,N.C. State
748,Daniel Jackson,Steele (Cibolo	 TX),WR,6-0,170,3,0.8416,uncommitted
749,Chayce Bishop,Independence (Thompson's Station	 TN),ATH,5-11,175,3,0.8416,uncommitted
750,Andy Garcia,St. Thomas Aquinas (Fort Lauderdale	 FL),OLB,6-1,205,3,0.8416,uncommitted
751,Raek'won Starks,Helen Cox (Harvey	 LA),CB,5-10,175,3,0.8416,uncommitted
